"1411 - Kabinet predsednika vlade, verzija: 8"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"1309"	"EU - portal in e - seje vlade"	402513	"Tekoče vzdrževanje druge (nelicenčne) programske opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	157000	157000	
	"1309"	"EU - portal in e - seje vlade"	420704	"Nakup druge (nelicenčne) programske opreme"	410002	"Dopolnjevanje informacijskih aplikativnih sistemov"	41	"Vzdrževanje programske opreme"	1	98000	98000	"EU portal"
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10003	"Zmogljivejši osebni računalnik"	1	"Osebni računalniki"	5	1600	8000	
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10003	"Zmogljivejši osebni računalnik"	1	"Osebni računalniki"	14	5400	75600	"tempest računalniki"
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	5	1720	8600	
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	60005	"Ostalo"	6	"Tiskalniška oprema"	10	3000	30000	"tempest tiskalniki"
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	30005	"Ostalo"	3	"Ročni računalniki"	10	50	500	
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	30005	"Ostalo"	3	"Ročni računalniki"	2	250	500	
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	30005	"Ostalo"	3	"Ročni računalniki"	10	150	1500	
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	80001	"DVD enote vseh vrst"	8	"Periferna računalniška oprema"	5	120	600	"Optična enota DVD"
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	120001	"L2/L3/L4 Stikalna oprema "	12	"Aktivna mrežna oprema"	8	6000	48000	"Stikalo 1 G"
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	120001	"L2/L3/L4 Stikalna oprema "	12	"Aktivna mrežna oprema"	5	6000	30000	"Stikalo - INFOSEC oprema"
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420249	"Nakup pasivne mrežne in komunikacijske opreme"	290001	"Ožičenje"	29	"Pasivna mrežna oprema"	1	15000	15000	
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310005	"Vzdrževanje licenčne programske opreme"	31	"vzdrževanje licenc"	1	18000	18000	"MS EA licence"
	"1554"	"Investicije in investicijsko vzdrževanje državnih organov"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	69700	69700	"Oprema za INFOSEC"
	"1607"	"Materialni stroški"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	350001	"Vzdrževanje in podpora delovnih postaj"	35	"Vzdrževanje in podpora"	1	28000	28000	
	"1607"	"Materialni stroški"	402607	"Najem programske računalniške opreme"	350011	"Ostalo"	35	"Vzdrževanje in podpora"	1	13000	13000	"IUS info"
"Skupaj (EUR):"	602000											
												
"1512 - Protokol v vladi Republike Slovenije, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2826"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	200017	"Ostalo"	20	"Periferna oprema, eno ali več procesorskih strežnikov ter delovnih postaj posebnega pomena"	3	260	780	
	"2826"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	200017	"Ostalo"	20	"Periferna oprema, eno ali več procesorskih strežnikov ter delovnih postaj posebnega pomena"	11	"110,91"	"1220,01"	
	"2826"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310006	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov in nadgradenj"	31	"vzdrževanje licenc"	34	"352,94"	"11999,96"	
	"3329"	"Materialni stroški"	402514	"Tekoče vzdrževanje licenčne programske opreme"	310009	"Ostalo"	31	"vzdrževanje licenc"	12	"291,66"	"3499,92"	
	"3329"	"Materialni stroški"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	310009	"Ostalo"	31	"vzdrževanje licenc"	12	"41,67"	"500,04"	
	"3329"	"Materialni stroški"	402516	"Tekoče vzdrževanje operativnega informacijskega okolja"	310004	"Vzdrževanje operacijskih sistemov"	31	"vzdrževanje licenc"	12	"791,67"	"9500,04"	
"Skupaj (EUR):"	780											
												
"1515 - Urad za enake možnosti, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"1060"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	10	550	5500	
	"1060"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	190011	"Ostalo"	19	"Visoko zmogljivi in razpoložljivi eno- ali več procesorski strežniki,  ter delovne postaje posebnega pomena"	1	3250	3250	
"Skupaj (EUR):"	8750											
												
"1516 - Urad za narodnosti vlade Republike Slovenije, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2831"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	130007	"Ostalo"	13	"Strežniki oddaljenega dostopa"	1	3000	3000	
	"2831"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	3	500	1500	
	"2831"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	40002	"LCD zaslon 19"""	4	"Računalniški zasloni"	2	250	500	
	"2831"	"Investicije in investicijsko vzdrževanje državnih organov"	420704	"Nakup druge (nelicenčne) programske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	2000	2000	
"Skupaj (EUR):"	7000											
												
"1518 - Urad vlade za komuniciranje, verzija: 9"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2835"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	10	500	5000	"delovne postaje - standardne"
	"2835"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	40002	"LCD zaslon 19"""	4	"Računalniški zasloni"	10	130	1300	"zasloni 19'"
	"2835"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	230001	"Aplikativni strežniki"	23	"Strežniki"	1	4700	4700	"aplikativni strežnik - poštni in SPIS"
"Skupaj (EUR):"	11000											
												
"1526 - Urad vlade za verske skupnosti, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2844"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	3	500	1500	
	"2844"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	130006	"Nadgradnja strežnika oddaljenega dostopa"	13	"Strežniki oddaljenega dostopa"	1	600	600	
	"2844"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	50004	"Ostalo"	5	"Prezentacijska oprema"	1	500	500	
	"2844"	"Investicije in investicijsko vzdrževanje državnih organov"	420704	"Nakup druge (nelicenčne) programske opreme"	310009	"Ostalo"	31	"vzdrževanje licenc"	1	1000	1000	
"Skupaj (EUR):"	3600											
												
"1535 - Urad za varovanje tajnih podatkov, verzija: 4"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2234"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	290002	"Ožičenje optično"	29	"Pasivna mrežna oprema"	1	29000	29000	"kompletno optično omrežje za stopnjo tajnosti INTERNO ali ZAUPNO"
	"2234"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	400023	"Ostala strojna računalniška oprema"	40	"Vzdrževanje strojne opreme"	11	3000	33000	"računalniški kompleti z TEMPEST zaščito"
"Skupaj (EUR):"	62000											
												
"1517 - Služba vlade za zakonodajo, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"1329"	"Publikacije in prevodi"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	1	800	800	
	"1329"	"Publikacije in prevodi"	420202	"Nakup strojne računalniške opreme"	130006	"Nadgradnja strežnika oddaljenega dostopa"	13	"Strežniki oddaljenega dostopa"	1	10200	10200	
	"1329"	"Publikacije in prevodi"	420704	"Nakup druge (nelicenčne) programske opreme"	10004	"Ostalo"	1	"Osebni računalniki"	1	3000	3000	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	10004	"Ostalo"	1	"Osebni računalniki"	1	1520	1520	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	20001	"Standardni prenosni računalnik"	2	"Prenosni računalniki"	8	560	4480	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	20002	"Zmogljivejši prenosni računalnik"	2	"Prenosni računalniki"	1	5000	5000	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	20002	"Zmogljivejši prenosni računalnik"	2	"Prenosni računalniki"	8	1500	12000	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	40004	"LCD zaslon 23"""	4	"Računalniški zasloni"	8	150	1200	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	50002	"Prenosni video prikazovalniki"	5	"Prezentacijska oprema"	1	1000	1000	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	1	800	800	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310007	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	31	"vzdrževanje licenc"	20	200	4000	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310007	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	31	"vzdrževanje licenc"	20	100	2000	
	"2833"	"Investicije in investicijsko vzdrževanje državnih organov"	420704	"Nakup druge (nelicenčne) programske opreme"	310009	"Ostalo"	31	"vzdrževanje licenc"	15	200	3000	
"Skupaj (EUR):"	49000											
												
"1522 - Statistični urad Republike Slovenije, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	100	650	65000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	20001	"Standardni prenosni računalnik"	2	"Prenosni računalniki"	65	1000	65000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	40004	"LCD zaslon 23"""	4	"Računalniški zasloni"	40	250	10000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	60005	"Ostalo"	6	"Tiskalniška oprema"	2	1669	3338	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	240005	"Sistem NAS nad 2 TB"	24	"Sistemi za shranjevanje podatkov"	2	15000	30000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	250001	"UPS do 5 KVA"	25	"Sistemi za neprekinjeno napajanje"	3	1500	4500	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	2	1000	2000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	190008	"Večprocesorski večjedrni strežnik"	19	"Visoko zmogljivi in razpoložljivi eno- ali več procesorski strežniki,  ter delovne postaje posebnega pomena"	5	10000	50000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	6260	6260	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	160000	160000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	115000	115000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	37000	37000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	2	20000	40000	
	"2839"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	20860	20860	
	"3357"	"Materialni stroški"	402007	"Računalniške storitve"	430009	"Ostalo"	43	"Zunanje izvajanje nalog"	1	35000	35000	
	"3357"	"Materialni stroški"	402007	"Računalniške storitve"	430009	"Ostalo"	43	"Zunanje izvajanje nalog"	1	16000	16000	
	"3357"	"Materialni stroški"	402510	"Tekoče vzdrževanje komunikacijske opreme"	350004	"Vzdrževanje, podpora in upravljanje komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	8346	8346	
	"3357"	"Materialni stroški"	402514	"Tekoče vzdrževanje licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	4	35846	143384	
	"3357"	"Materialni stroški"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	350004	"Vzdrževanje, podpora in upravljanje komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	25000	25000	
	"3357"	"Materialni stroški"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	350011	"Ostalo"	35	"Vzdrževanje in podpora"	1	36575	36575	
	"3357"	"Materialni stroški"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	410002	"Dopolnjevanje informacijskih aplikativnih sistemov"	41	"Vzdrževanje programske opreme"	1	20500	20500	
	"3357"	"Materialni stroški"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	12519	12519	
	"6967"	"Redne letne raziskave - ankete"	402514	"Tekoče vzdrževanje licenčne programske opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	"189879,24"	"189879,24"	
"Skupaj (EUR):"	906282											
												
"1524 - Slovenska obveščevalno - varnostna agencija, verzija: 7"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	10001	"Ekonomični osebni računalnik"	1	"Osebni računalniki"	7	600	4200	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	10001	"Ekonomični osebni računalnik"	1	"Osebni računalniki"	180	550	99000	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	20001	"Standardni prenosni računalnik"	2	"Prenosni računalniki"	1	1000	1000	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	40001	"LCD zaslon 17"""	4	"Računalniški zasloni"	1	500	500	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	40001	"LCD zaslon 17"""	4	"Računalniški zasloni"	60	250	15000	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	10000	10000	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	3000	3000	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	1000	1000	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	10	100	1000	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	243428	243428	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	10	3350	33500	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	310005	"Vzdrževanje licenčne programske opreme"	31	"vzdrževanje licenc"	1	44638	44638	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	310009	"Ostalo"	31	"vzdrževanje licenc"	1	112085	112085	
	"1109"	"Predstavniki agencije v tujini"	420202	"Nakup strojne računalniške opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	20000	20000	
	"1109"	"Predstavniki agencije v tujini"	420238	"Nakup telekomunikacijske opreme"	100016	"Ostalo"	10	"Oprema za podporo večpredstavnosti"	5	400	2000	
	"1109"	"Predstavniki agencije v tujini"	420238	"Nakup telekomunikacijske opreme"	100016	"Ostalo"	10	"Oprema za podporo večpredstavnosti"	2	1500	3000	
												
	"1109"	"Predstavniki agencije v tujini"	420238	"Nakup telekomunikacijske opreme"	100016	"Ostalo"	10	"Oprema za podporo večpredstavnosti"	2	500	1000	
	"1109"	"Predstavniki agencije v tujini"	420238	"Nakup telekomunikacijske opreme"	100016	"Ostalo"	10	"Oprema za podporo večpredstavnosti"	1	15000	15000	
	"1109"	"Predstavniki agencije v tujini"	420238	"Nakup telekomunikacijske opreme"	100016	"Ostalo"	10	"Oprema za podporo večpredstavnosti"	145	"31,38"	"4550,1"	
	"1109"	"Predstavniki agencije v tujini"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	40000	40000	
	"1109"	"Predstavniki agencije v tujini"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	1000	1000	
	"1109"	"Predstavniki agencije v tujini"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	12	10200	122400	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	25000	25000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	3000	3000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	10	100	1000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	220005	"Ostalo"	22	"Enote za varnostno shranjevanje podatkov"	10	100	1000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	220005	"Ostalo"	22	"Enote za varnostno shranjevanje podatkov"	10	100	1000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	300000	300000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	3	1000	3000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	2	2000	4000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	3	"333,33"	"999,99"	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	3	"333,34"	"1000,02"	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	2	80000	160000	
	"2840"	"Investicije in investicijsko vzdrževanje državnih organov"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	300001	"Ostalo"	30	"Ostala strojna računalniška oprema"	1	"64864,99"	"64864,99"	
"Skupaj (EUR):"	1270751											
												
"1532 - Urad RS za makroekonomske analize in razvoj, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"1570"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10001	"Ekonomični osebni računalnik"	1	"Osebni računalniki"	22	700	15400	
	"1570"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	20002	"Zmogljivejši prenosni računalnik"	2	"Prenosni računalniki"	3	600	1800	
	"1570"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	190009	"Strežnik baziran na strežniških rezinah"	19	"Visoko zmogljivi in razpoložljivi eno- ali več procesorski strežniki,  ter delovne postaje posebnega pomena"	1	11500	11500	"vzdr. strežnikov in CBP"
	"1570"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	4000	4000	"tel.centrala"
	"1570"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310009	"Ostalo"	31	"vzdrževanje licenc"	1	22914	22914	
	"1570"	"Investicije in investicijsko vzdrževanje državnih organov"	420704	"Nakup druge (nelicenčne) programske opreme"	310009	"Ostalo"	31	"vzdrževanje licenc"	1	100	100	
"Skupaj (EUR):"	55614											
												
"1536 - Služba Vlade RS za lokalno samoupravo in regionalno politiko, verzija: 8"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"1102"	"Materialni stroški"	402510	"Tekoče vzdrževanje komunikacijske opreme"	350002	"Vzdrževanje in podpora mrežnih storitev"	35	"Vzdrževanje in podpora"	1	4000	4000	
